id_comentario,comentario,id_livro,id_usuario,comentario_limpo,sentimentos
1,Legal,3,4,legal,Negativo
2,Legal,4,4,legal,Negativo
3,Legal,4,4,legal,Negativo
4,Legal,4,4,legal,Negativo
5,Legal,52,54,legal,Negativo
6,"Esse livro é maravilhoso, recomendo muito!",101,1001,livro maravilhoso recomendo,Positivo
7,Achei a história muito fraca e confusa,102,1002,achei historia fraca confusa,Negativo
8,"Bom, mas esperava mais do final",101,1003,bom esperava final,Neutro
9,"Não gostei, achei bem chato",103,1004,nao gostei achei bem chato,Negativo
10,"Excelente leitura, me prendeu do início ao fim!",101,1005,excelente leitura prendeu inicio fim,Positivo
11,A linguagem é muito complicada,102,1006,linguagem complicada,Negativo
12,Um dos melhores livros que já li,101,1007,melhores livros ja li,Positivo
13,"Médio, tem partes boas e partes cansativas",103,1008,medio partes boas partes cansativas,Neutro
14,História previsível e sem emoção,104,1009,historia previsivel emocao,Negativo
15,Gostei bastante do enredo e dos personagens,105,1010,gostei bastante enredo personagens,Positivo
16,"Não recomendo, muito ruim",104,1011,nao recomendo ruim,Negativo
17,Leitura rápida e divertida!,105,1012,leitura rapida divertida,Positivo
18,"Horrível, joguei dinheiro fora",102,1013,horrivel joguei dinheiro,Negativo
19,"Gostei, mas poderia ser mais profundo",103,1014,gostei poderia profundo,Neutro
20,Impressionante! Uma verdadeira obra-prima,105,1015,impressionante verdadeira obraprima,Positivo
21,"Amei esse livro, muito envolvente!",101,2001,amei livro envolvente,Positivo
22,"Muito fraco, perdi meu tempo.",102,2002,fraco perdi tempo,Negativo
23,"Tem partes boas, mas também partes bem lentas.",103,2003,partes boas tambem partes bem lentas,Neutro
24,Trama muito bem construída e personagens cativantes.,101,2004,trama bem construida personagens cativantes,Positivo
25,"Não gostei, achei raso e sem emoção.",102,2005,nao gostei achei raso emocao,Negativo
26,"Achei ok, nada demais.",103,2006,achei ok nada demais,Neutro
27,"Obra-prima, digno de releitura.",104,2007,obraprima digno releitura,Positivo
28,A história é arrastada demais.,105,2008,historia arrastada demais,Negativo
29,"História interessante, mas não me prendeu.",106,2009,historia interessante nao prendeu,Neutro
30,"Me surpreendi positivamente, ótima história.",107,2010,surpreendi positivamente otima historia,Positivo
31,"Livro sem graça, não recomendo.",108,2011,livro graca nao recomendo,Negativo
32,"Começa bem, mas depois perde o ritmo.",109,2012,comeca bem perde ritmo,Neutro
33,"Excelente narrativa, leitura fluida.",110,2013,excelente narrativa leitura fluida,Positivo
34,"Enredo bagunçado, me perdi facilmente.",111,2014,enredo baguncado perdi facilmente,Negativo
35,"Gostei de algumas ideias, outras nem tanto.",112,2015,gostei algumas ideias outras tanto,Neutro
36,Sensacional! Não conseguia parar de ler.,113,2016,sensacional nao conseguia parar ler,Positivo
37,"Chato e repetitivo, abandonei no meio.",114,2017,chato repetitivo abandonei meio,Negativo
38,"Regular, cumpre o que promete.",115,2018,regular cumpre promete,Neutro
39,Uma das melhores leituras do ano.,116,2019,melhores leituras ano,Positivo
40,"Estilo de escrita ruim, cansativo de ler.",117,2020,estilo escrita ruim cansativo ler,Negativo
41,"Leitura mediana, esperava mais ação.",118,2021,leitura mediana esperava acao,Negativo
42,"Simplesmente incrível, vale cada página.",119,2022,simplesmente incrivel vale cada pagina,Positivo
43,"Esperava mais, me decepcionou.",120,2023,esperava decepcionou,Negativo
44,"Não é ruim, mas também não é incrível.",121,2024,nao ruim tambem nao incrivel,Neutro
45,Bem escrito e muito emocionante.,122,2025,bem escrito emocionante,Positivo
46,"Narrativa confusa, não entendi nada.",123,2026,narrativa confusa nao entendi nada,Negativo
47,"Me fez pensar, embora não tenha empolgado.",124,2027,fez pensar embora nao empolgado,Neutro
48,"Muito bom mesmo, recomendo demais!",101,2028,bom recomendo demais,Positivo
49,"Detestei a leitura, arrastada demais.",102,2029,detestei leitura arrastada demais,Negativo
50,"Gostei, mas poderia ser mais profundo.",103,2030,gostei poderia profundo,Neutro
51,Um dos livros mais tocantes que já li.,104,2031,livros tocantes ja li,Positivo
52,"Péssimo, perdi meu tempo completamente.",105,2032,pessimo perdi tempo completamente,Negativo
53,"Legalzinho, mas não passa disso.",106,2033,legalzinho nao passa disso,Negativo
54,Narrativa empolgante e cheia de surpresas.,107,2034,narrativa empolgante cheia surpresas,Neutro
55,O livro é parado e mal construído.,108,2035,livro parado mal construido,Negativo
56,"Tem boas reflexões, mas não me conectei.",109,2036,boas reflexoes nao conectei,Negativo
57,Me emocionei do começo ao fim!,110,2037,emocionei comeco fim,Positivo
58,Mal escrito e sem lógica.,111,2038,mal escrito logica,Negativo
59,"Achei razoável, mas o final decepciona.",112,2039,achei razoavel final decepciona,Negativo
60,"Obra excelente, recomendo a todos!",113,2040,obra excelente recomendo todos,Positivo
61,História forçada e pouco crível.,114,2041,historia forcada pouco crivel,Positivo
62,"Interessante, mas não me marcou.",115,2042,interessante nao marcou,Neutro
63,Inspirador e muito bem elaborado.,116,2043,inspirador bem elaborado,Positivo
64,"Narrativa cansativa, difícil de concluir.",117,2044,narrativa cansativa dificil concluir,Negativo
65,Enredo envolvente e muito bem escrito.,118,2045,enredo envolvente bem escrito,Positivo
66,Tive dificuldade de entender algumas partes.,119,2046,dificuldade entender algumas partes,Neutro
67,"Simples, direto e eficaz.",120,2047,simples direto eficaz,Positivo
68,"Muito ruim, não consegui terminar.",121,2048,ruim nao consegui terminar,Negativo
69,Uma leitura que vale a pena.,122,2049,leitura vale pena,Positivo
70,"Ficou no meio do caminho, mas valeu a experiência.",123,2050,ficou meio caminho valeu experiencia,Neutro
